Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV5043	k__Fungi	p__Basidiomycota	c__Cystobasidiomycetes	o__Erythrobasidiales	f__Erythrobasidiaceae	g__Erythrobasidium	s__proteacearum
ASV5044	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Fomitopsidaceae	g__Postia	s__ceriflua
ASV5045	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymosphaeriaceae	g__Paraconiothyrium	unclassified
ASV5046	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporaceae	g__Alternaria	s__tenuissima
ASV5047	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Microbotryales	f__Ustilentylomataceae	g__Ustilentyloma	s__graminis
ASV5048	k__Fungi	p__Ascomycota	unclassified	unclassified	unclassified	unclassified	unclassified
ASV5049	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Cladosporiaceae	g__Cladosporium	s__succulentum
ASV5050	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreales_fam_Incertae_sedis	g__Acremonium	s__hennebertii
ASV5051	k__Fungi	p__Basidiomycota	c__Malasseziomycetes	o__Malasseziales	f__Malasseziaceae	g__Malassezia	s__restricta
ASV5052	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Sporormiaceae	g__Sporormiella	s__intermedia
ASV5053	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Xylariales	f__Amphisphaeriaceae	g__Microdochium	s__trichocladiopsis
ASV5054	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Mycosphaerellales	f__Mycosphaerellaceae	g__Zymoseptoria	s__brevis
ASV5055	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	s__lapidosum
ASV5056	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Discinellaceae	g__Gyoerffyella	s__entomobryoides
ASV5057	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	unclassified	unclassified	unclassified
ASV5058	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Cystofilobasidiales	f__Mrakiaceae	g__Itersonilia	s__perplexans
ASV5059	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Tetracladium	s__marchalianum
ASV5060	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Xylariales	f__Xylariaceae	g__Entoleuca	unclassified
ASV5061	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Microbotryales	f__Ustilentylomataceae	g__Microbotryozyma	s__collariae
ASV5062	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Polyporaceae	g__Trametes	s__versicolor
ASV5063	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Mycosphaerellales	f__Teratosphaeriaceae	unclassified	unclassified
ASV5064	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Peniophoraceae	g__Peniophora	unclassified
ASV5065	k__Fungi	p__Chytridiomycota	unclassified	unclassified	unclassified	unclassified	unclassified
ASV5066	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Trichosporonales	f__Trichosporonaceae	g__Trichosporon	s__inkin
ASV5067	k__Fungi	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
ASV5068	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Debaryomycetaceae	g__Debaryomyces	unclassified
ASV5069	k__Fungi	p__Basidiomycota	c__Malasseziomycetes	o__Malasseziales	f__Malasseziaceae	g__Malassezia	unclassified
ASV5070	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Debaryomycetaceae	g__Debaryomyces	s__delbrueckii
ASV5071	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Dothideales	f__Dothioraceae	g__Hormonema	s__macrosporum
ASV5072	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Polyporaceae	g__Cyanosporus	s__populi
ASV5073	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Atheliales	f__Atheliaceae	g__Athelia	unclassified
ASV5074	k__Fungi	p__Chytridiomycota	c__Chytridiomycota_cls_Incertae_sedis	o__Chytridiomycota_ord_Incertae_sedis	f__Chytridiomycota_fam_Incertae_sedis	g__Chytridiomycota_gen_Incertae_sedis	unclassified
ASV5075	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Thelebolales	f__Pseudeurotiaceae	g__Pseudeurotiaceae_gen_Incertae_sedis	unclassified
ASV5076	k__Fungi	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
ASV5077	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	s__paneum
ASV5078	k__Fungi	p__Basidiomycota	c__Malasseziomycetes	o__Malasseziales	f__Malasseziaceae	g__Malassezia	s__globosa
ASV5079	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Hydnangiaceae	g__Hydnangiaceae_gen_Incertae_sedis	unclassified
ASV5080	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Agaricales_fam_Incertae_sedis	g__Uncobasidium	unclassified
ASV5081	k__Fungi	p__Basidiomycota	c__Agaricomycetes	unclassified	unclassified	unclassified	unclassified
ASV5082	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Sporidiobolales	f__Sporidiobolaceae	g__Rhodotorula	s__babjevae
ASV5083	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Xylariales	f__Xylariaceae	g__Rosellinia	s__thelena
ASV5084	k__Fungi	p__Basidiomycota	c__Agaricostilbomycetes	o__Agaricostilbales	f__Chionosphaeraceae	g__Chionosphaera	s__cuniculicola
ASV5085	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Cladophialophora	unclassified
ASV5086	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Cortinariaceae	g__Cortinarius	s__belleri
ASV5087	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Hymenochaetales	f__Rickenellaceae	g__Peniophorella	s__pertenuis
ASV5088	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Boletales	f__Sclerodermataceae	g__Scleroderma	s__bovista
ASV5089	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Mycosphaerellales	f__Teratosphaeriaceae	g__Neocatenulostroma	s__microsporum
ASV5090	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Umbilicariales	f__Umbilicariales_fam_Incertae_sedis	g__Umbilicariales_gen_Incertae_sedis	unclassified
ASV5091	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Cladosporiaceae	g__Cladosporium	unclassified
ASV5092	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Psathyrellaceae	g__Coprinellus	s__andreorum
ASV5093	k__Fungi	p__Basidiomycota	unclassified	unclassified	unclassified	unclassified	unclassified
ASV5094	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Psathyrellaceae	g__Coprinopsis	s__pseudofriesii
ASV5095	k__Fungi	p__Basidiomycota	c__Agaricostilbomycetes	o__Agaricostilbales	f__Kondoaceae	g__Kondoa	s__aeria
ASV5096	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Meripilaceae	g__Pseudonadsoniella	s__brunnea
ASV5097	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Sporidiobolales	f__Sporidiobolaceae	g__Rhodotorula	s__diobovata
ASV5098	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Atheliales	f__Tylosporaceae	g__Tylosporaceae_gen_Incertae_sedis	unclassified
ASV5099	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Cladosporiaceae	g__Cladosporium	s__endophyticum
ASV5100	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Cladosporiaceae	g__Cladosporium	unclassified
ASV5101	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	g__Microscypha	unclassified
ASV5102	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Strossmayeria	unclassified
ASV5103	k__Fungi	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
ASV5104	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Mycosphaerellales	f__Mycosphaerellaceae	g__Zymoseptoria	unclassified
ASV5105	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Cordycipitaceae	g__Beauveria	s__australis
ASV5106	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Sporormiaceae	g__Sporormurispora	unclassified
ASV5107	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Physalacriaceae	g__Flammulina	s__velutipes
ASV5108	k__Fungi	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Pezizaceae	g__Terfezia	unclassified
ASV5109	k__Fungi	p__Chytridiomycota	c__Chytridiomycota_cls_Incertae_sedis	o__Chytridiomycota_ord_Incertae_sedis	f__Chytridiomycota_fam_Incertae_sedis	g__Chytridiomycota_gen_Incertae_sedis	unclassified
ASV5110	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Peniophoraceae	g__Peniophora	s__pseudoversicolor
ASV5111	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Hymenogastraceae	g__Gymnopilus	s__penetrans
ASV5112	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Filobasidiales	f__Filobasidiaceae	g__Naganishia	unclassified
ASV5113	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Cantharellales	f__Hydnaceae	unclassified	unclassified
ASV5114	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Cladosporiaceae	g__Toxicocladosporium	unclassified
ASV5115	k__Fungi	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
ASV5116	k__Fungi	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
ASV5117	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Fusarium	s__equiseti
ASV5118	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporaceae	g__Alternaria	unclassified
ASV5119	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Mycosphaerellales	f__Mycosphaerellaceae	g__Ramularia	s__eucalypti
ASV5120	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Mycosphaerellales	unclassified	unclassified	unclassified
ASV5121	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Coniosporium	unclassified
ASV5122	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Cladosporiaceae	g__Cladosporium	s__sphaerospermum
ASV5123	k__Fungi	p__Basidiomycota	c__Cystobasidiomycetes	o__Cystobasidiomycetes_ord_Incertae_sedis	f__Symmetrosporaceae	g__Symmetrospora	s__suhii
ASV5124	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Cortinariaceae	g__Cortinarius	s__vernus
ASV5125	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Cortinariaceae	g__Cortinarius	s__sagacitas
ASV5126	k__Fungi	p__Ascomycota	c__Orbiliomycetes	o__Orbiliales	f__Orbiliaceae	g__Orbilia	s__flavida
ASV5127	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Thelebolales	f__Thelebolaceae	g__Thelebolus	s__globosus
ASV5128	k__Fungi	p__Ascomycota	c__Orbiliomycetes	o__Orbiliales	f__Orbiliaceae	g__Dactylella	s__arnaudii
ASV5129	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Filobasidiales	f__Piskurozymaceae	g__Piskurozyma	unclassified
ASV5130	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Peniophoraceae	g__Peniophora	s__rufomarginata
ASV5131	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Phallales	f__Phallaceae	g__Lysurus	s__cruciatus
ASV5132	k__Fungi	p__Basidiomycota	c__Cystobasidiomycetes	o__Erythrobasidiales	f__Erythrobasidiaceae	g__Erythrobasidium	s__yunnanense
ASV5133	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Amylostereaceae	g__Amylostereum	s__chailletii
ASV5134	k__Fungi	p__Basidiomycota	unclassified	unclassified	unclassified	unclassified	unclassified
ASV5135	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Rhynchogastremataceae	g__Papiliotrema	unclassified
ASV5136	k__Fungi	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
ASV5137	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Polyporaceae	g__Trametes	s__versicolor
ASV5138	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Hymenochaetales	f__Rickenellaceae	g__Peniophorella	s__pertenuis
ASV5139	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Trichomeriaceae	g__Bradymyces	s__graniticola
ASV5140	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Cantharellales	f__Botryobasidiaceae	g__Botryobasidium	s__subcoronatum
ASV5141	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Hymenochaetales	f__Schizoporaceae	g__Xylodon	s__sambuci
ASV5142	k__Fungi	p__Chytridiomycota	c__Chytridiomycota_cls_Incertae_sedis	o__Chytridiomycota_ord_Incertae_sedis	f__Chytridiomycota_fam_Incertae_sedis	g__Chytridiomycota_gen_Incertae_sedis	unclassified
ASV5143	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Saccharomyces	s__cerevisiae
ASV5144	k__Fungi	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
ASV5145	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Cantharellales	f__Hydnaceae	g__Sistotrema	s__sernanderi
ASV5146	k__Fungi	p__Basidiomycota	c__Malasseziomycetes	o__Malasseziales	f__Malasseziaceae	g__Malassezia	s__globosa
ASV5147	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporaceae	g__Alternaria	s__subcucurbitae
ASV5148	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Fusarium	unclassified
ASV5149	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	unclassified	unclassified	unclassified
ASV5150	k__Fungi	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
ASV5151	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Saccharomyces	s__cerevisiae
ASV5152	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Psathyrellaceae	g__Coprinopsis	unclassified
ASV5153	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Niessliaceae	g__Niesslia	s__tenuis
ASV5154	k__Fungi	p__Ascomycota	unclassified	unclassified	unclassified	unclassified	unclassified
ASV5155	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Mycosphaerellales	unclassified	unclassified	unclassified
ASV5156	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Cladosporiaceae	g__Cladosporium	unclassified
ASV5157	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Cladosporiaceae	g__Cladosporium	unclassified
ASV5158	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Corticiales	f__Corticiaceae	g__Limonomyces	s__culmigenus
ASV5159	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Peniophoraceae	g__Peniophora	s__rufomarginata
ASV5160	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Lecanorales	f__Catillariaceae	unclassified	unclassified
ASV5161	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	g__Phaeosphaeria	unclassified
ASV5162	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	g__Neosetophoma	s__poaceicola
ASV5163	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Cryptococcaceae	g__Cryptococcus	s__uniguttulatus
ASV5164	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Typhulaceae	g__Typhula	unclassified
ASV5165	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Sporidiobolales	f__Sporidiobolaceae	g__Rhodotorula	s__diobovata
ASV5166	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Marasmiaceae	g__Crinipellis	s__malesiana
ASV5167	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Phanerochaetaceae	g__Bjerkandera	s__adusta
ASV5168	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Cladosporiaceae	g__Toxicocladosporium	s__irritans
ASV5169	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Sporidiobolales	f__Sporidiobolaceae	g__Rhodosporidiobolus	s__colostri
ASV5170	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Dipodascaceae	g__Geotrichum	unclassified
ASV5171	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	g__Leptospora	s__chromolaenae
ASV5172	k__Fungi	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
ASV5173	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Cladosporiaceae	g__Cladosporium	unclassified
ASV5174	k__Fungi	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
ASV5175	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Cladosporiaceae	g__Cladosporium	unclassified
ASV5176	k__Fungi	p__Chytridiomycota	c__Chytridiomycota_cls_Incertae_sedis	o__Chytridiomycota_ord_Incertae_sedis	f__Chytridiomycota_fam_Incertae_sedis	g__Chytridiomycota_gen_Incertae_sedis	unclassified
ASV5177	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Lipomycetaceae	g__Myxozyma	s__melibiosi
ASV5178	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Polyporaceae	g__Trametes	s__versicolor
ASV5179	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Radulomycetaceae	g__Radulomyces	s__paumanokensis
ASV5180	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Sporidiobolales	f__Sporidiobolaceae	g__Sporobolomyces	s__roseus
ASV5181	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleribasidiaceae	g__Dioszegia	s__butyracea
ASV5182	k__Fungi	p__Mucoromycota	c__Mucoromycotina_cls_Incertae_sedis	o__Mucoromycotina_ord_Incertae_sedis	f__Mucoromycotina_fam_Incertae_sedis	g__Bifiguratus	s__adelaidae
ASV5183	k__Fungi	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
ASV5184	k__Fungi	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
ASV5185	k__Fungi	p__Chytridiomycota	c__Chytridiomycota_cls_Incertae_sedis	o__Chytridiomycota_ord_Incertae_sedis	f__Chytridiomycota_fam_Incertae_sedis	g__Chytridiomycota_gen_Incertae_sedis	unclassified
ASV5186	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	unclassified	unclassified	unclassified
ASV5187	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Cladosporiaceae	g__Toxicocladosporium	s__irritans
ASV5188	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Saccharomyces	s__cerevisiae
ASV5189	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Sporidiobolales	f__Sporidiobolaceae	g__Rhodosporidiobolus	s__odoratus
ASV5190	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Phaffomycetaceae	g__Wickerhamomyces	s__anomalus
ASV5191	k__Fungi	p__Ascomycota	unclassified	unclassified	unclassified	unclassified	unclassified
ASV5192	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Rhinocladiella	unclassified
ASV5193	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Xylariales	f__Pseudomassariaceae	g__Pseudomassaria	s__chondrospora
ASV5194	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymosphaeriaceae	g__Didymosphaeria	s__variabile
ASV5195	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Niessliaceae	g__Niesslia	s__constricta
ASV5196	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Lycoperdaceae	g__Bovista	s__promontorii
ASV5197	k__Fungi	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
ASV5198	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Periconiaceae	g__Periconia	unclassified
ASV5199	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Cladosporiaceae	g__Cladosporium	s__herbarum
ASV5200	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporales_fam_Incertae_sedis	g__Chalastospora	s__gossypii
ASV5201	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Mycosphaerellales	f__Teratosphaeriaceae	g__Parapenidiella	s__pseudotasmaniensis
ASV5202	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Tricholomataceae	g__Resupinatus	s__europaeus
ASV5203	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleribasidiaceae	g__Vishniacozyma	s__victoriae
ASV5204	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	unclassified	unclassified	unclassified
ASV5205	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Mycosphaerellales	f__Mycosphaerellaceae	unclassified	unclassified
ASV5206	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Corticiales	f__Vuilleminiaceae	g__Vuilleminia	s__comedens
ASV5207	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Hymenochaetales	f__Schizoporaceae	g__Xylodon	s__erastii
ASV5208	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Amanitaceae	g__Amanita	s__rubescens
ASV5209	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Agaricaceae	g__Agaricus	s__bisporus
ASV5210	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Sporidiobolales	f__Sporidiobolaceae	g__Rhodotorula	s__toruloides
ASV5211	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Debaryomycetaceae	g__Debaryomyces	unclassified
ASV5212	k__Fungi	p__Ascomycota	unclassified	unclassified	unclassified	unclassified	unclassified
ASV5213	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	unclassified	unclassified	unclassified
ASV5214	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Cantharellales	f__Hydnaceae	g__Sistotrema	s__coroniferum
ASV5215	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Phallales	f__Phallaceae	g__Phallus	s__impudicus
ASV5216	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	unclassified	unclassified	unclassified
ASV5217	k__Fungi	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Pezizaceae	g__Iodophanus	unclassified
ASV5218	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Saccharomyces	s__cerevisiae
ASV5219	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Sordariales_fam_Incertae_sedis	g__Papulaspora	s__byssina
ASV5220	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Cystofilobasidiales	f__Cystofilobasidiaceae	g__Cystofilobasidium	s__macerans
ASV5221	k__Fungi	p__Chytridiomycota	c__Chytridiomycota_cls_Incertae_sedis	o__Chytridiomycota_ord_Incertae_sedis	f__Chytridiomycota_fam_Incertae_sedis	g__Chytridiomycota_gen_Incertae_sedis	unclassified
ASV5222	k__Fungi	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
ASV5223	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Hymenochaetales	f__Hymenochaetaceae	g__Hymenochaetopsis	unclassified
ASV5224	k__Fungi	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
ASV5225	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Hymenochaetales	f__Hymenochaetaceae	unclassified	unclassified
ASV5226	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Hymenochaetales	f__Schizoporaceae	g__Hyphodontia	unclassified
ASV5227	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Peniophoraceae	g__Peniophora	s__pithya
ASV5228	k__Fungi	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
ASV5229	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Aspergillus	s__ruber
ASV5230	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Exophiala	s__eucalyptorum
ASV5231	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Phanerochaetaceae	g__Hyphodermella	unclassified
ASV5232	k__Fungi	p__Basidiomycota	c__Cystobasidiomycetes	o__Cystobasidiales	f__Cystobasidiaceae	g__Cystobasidium	unclassified
ASV5233	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Cladosporiaceae	g__Cladosporium	unclassified
ASV5234	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Cladosporiaceae	g__Cladosporium	unclassified
ASV5235	k__Fungi	p__Ascomycota	c__Sordariomycetes	unclassified	unclassified	unclassified	unclassified
ASV5236	k__Fungi	p__Basidiomycota	c__Cystobasidiomycetes	o__Cystobasidiales	f__Cystobasidiaceae	g__Cystobasidium	s__minutum
ASV5237	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Cladosporiaceae	g__Cladosporium	unclassified
ASV5238	k__Fungi	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
ASV5239	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Capnodiales_fam_Incertae_sedis	g__Capnodiales_gen_Incertae_sedis	unclassified
ASV5240	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Metschnikowiaceae	g__Clavispora	s__lusitaniae
ASV5241	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Mycosphaerellales	f__Teratosphaeriaceae	g__Constantinomyces	s__oldenburgensis
ASV5242	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Mycosphaerellales	f__Extremaceae	g__Incertomyces	unclassified
ASV5243	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__polygonia
